taps,beta,cutoff,delay,gain_db,null_lufs,null_rms,null_peak,esr,mae,mse,mrstft
65,10.0,0.95,63.49997836621604,-2.8660228271819766e-06,-inf,-100.4481396776115,-67.20734280923408,9.019574128902739e-11,1.3830565079996989e-07,5.630283084506469e-12,6.319792976735517e-06
65,12.0,0.5,63.49997836621604,-1.9273030238519104e-06,-inf,-96.85704196933332,-60.89080639480616,2.0620339105640012e-10,1.4017965304543041e-07,1.2871821308196947e-11,1.1804915679957318e-05
65,12.0,0.6,63.49997836621604,-2.121358910855991e-06,-inf,-97.5998500079229,-62.074345721363684,1.7378608481297553e-10,1.380310423371003e-07,1.0848237839851714e-11,1.0451873322074368e-05
65,12.0,0.7,63.50002163378396,-1.5002708866641254e-06,-inf,-98.38129257105663,-63.33285445084388,1.4516794964720842e-10,1.386778605705399e-07,9.061809788691166e-12,9.212898899848329e-06
65,12.0,0.75,63.50002163378396,-9.638920384309334e-07,-inf,-98.77561570401951,-63.98822490935855,1.3256791614581729e-10,1.3830248704374108e-07,8.275278690069023e-12,8.622297884706537e-06
65,12.0,0.8,63.50002163378396,-7.208594690146905e-07,-inf,-99.1634167571593,-64.65041858426942,1.212434607481818e-10,1.3797669702054164e-07,7.568372923174331e-12,8.010666105611854e-06
65,12.0,0.85,63.50002163378396,-7.844440762468018e-07,-inf,-99.53605083861208,-65.309787335523,1.1127431158577341e-10,1.385278420832584e-07,6.946069352142446e-12,7.546910386920316e-06
65,12.0,0.9,63.50002163378396,-3.649098904071073e-07,-inf,-99.88484706998693,-65.95363530980218,1.0268695906389109e-10,1.3765723389895524e-07,6.410021585876903e-12,7.099504207900017e-06
65,12.0,0.95,63.50002163378396,-7.220895912700448e-07,-inf,-100.1997901148506,-66.5659694934177,9.550387398671364e-11,1.382409573797449e-07,5.9616323179733746e-12,6.6846225426116715e-06
65,14.0,0.5,63.49997836621604,-2.1546599478443305e-06,-inf,-96.79342474912494,-60.626628890825714,2.0924617365629043e-10,1.403357734641331e-07,1.3061760735016395e-11,1.2128754367496883e-05
65,14.0,0.6,63.50002163378396,-1.831301683033428e-06,-inf,-97.51115158638785,-61.7589575958263,1.773719094623792e-10,1.3872653225888317e-07,1.1072075546366577e-11,1.0772039856719461e-05
65,14.0,0.7,63.50002163378396,-1.8336200058269705e-06,-inf,-98.25877479208307,-62.96790015663039,1.4932156080102188e-10,1.3793491861439166e-07,9.321090396452836e-12,9.506677892602177e-06
65,14.0,0.75,63.50002163378396,-9.225299064141467e-07,-inf,-98.63316259291707,-63.59055632545902,1.3698838343635324e-10,1.3860229088305176e-07,8.5512172416661e-12,8.952289758188441e-06
65,14.0,0.8,63.49997836621604,-2.0325723185962193e-06,-inf,-99.00007572611975,-64.22613498596328,1.2589034606275524e-10,1.3842327662638768e-07,7.858445152842532e-12,8.39440863905226e-06
65,14.0,0.85,63.49997836621604,-5.325916980439484e-07,-inf,-99.3523011565012,-64.84949965315518,1.1608333706834599e-10,1.3782912790557377e-07,7.246262847317843e-12,7.863075797023903e-06
65,14.0,0.9,63.50002163378396,-1.1747197749022967e-06,-inf,-99.68172208528551,-65.44729589197652,1.0760384531024307e-10,1.377286778443277e-07,6.716948066724462e-12,7.425124527773057e-06
65,14.0,0.95,63.50002163378396,-1.603641794081339e-06,-inf,-99.9806336799096,-66.02552323004983,1.0044692172896972e-10,1.3605567382122506e-07,6.270191876234004e-12,7.052426029564065e-06
129,6.0,0.5,95.50002163378396,-2.0529663279056722e-05,-inf,-97.23471063893474,-63.088676321631596,1.890292173089944e-10,1.527397975485823e-07,1.1802169388865431e-11,9.473582929602733e-06
129,6.0,0.6,95.50002163378396,-0.0006532767851675533,-inf,-97.99358578075801,-63.74605794519378,1.5872356959124785e-10,1.5161700454627962e-07,9.9100153986203e-12,8.945612223253593e-06
129,6.0,0.7,95.49997836621604,0.00017443220518131644,-inf,-99.21656410590434,-66.22981081387579,1.197687699845598e-10,1.4770559154934328e-07,7.477845652522723e-12,6.9340599191007345e-06
129,6.0,0.75,95.49997836621604,0.0005795986934091351,-inf,-99.6528864601092,-66.3306947647773,1.0832067408580027e-10,1.469507030077346e-07,6.763075899462402e-12,6.852540908951222e-06
129,6.0,0.8,95.49997836621604,0.000590461632271334,-inf,-100.25749114326088,-67.21243177186354,9.424338697858758e-11,1.457027966239668e-07,5.8841507822757144e-12,6.292285952503129e-06
129,6.0,0.85,95.49997836621604,0.00020470364881525107,-inf,-101.11336902907188,-69.14502148881826,7.738612438816364e-11,1.4269415873790309e-07,4.831655980905655e-12,5.294297846492454e-06
129,6.0,0.9,95.50002163378396,-0.00031440901591402723,-inf,-101.72879356910227,-69.81679760560783,6.71615395713816e-11,1.4080993138250988e-07,4.193276985021501e-12,4.988854652992666e-06
129,6.0,0.95,95.50002163378396,-0.0006157255922217687,-inf,-102.06308127239855,-69.66954574278789,6.218589264325142e-11,1.3912251255513287e-07,3.88261904176298e-12,5.071861541911514e-06
129,8.0,0.5,95.49997836621604,1.0543377060934288e-05,-inf,-97.21031107644357,-62.85588224937983,1.90094211436842e-10,1.503355415013264e-07,1.1868663030821629e-11,9.658420969317802e-06
129,8.0,0.6,95.50002163378396,-9.300221587555443e-05,-inf,-98.11333877389025,-64.4003502268125,1.5440669336568953e-10,1.4886639786708888e-07,9.640488257948056e-12,8.406973010506221e-06
129,8.0,0.7,95.50002163378396,9.310333911008646e-06,-inf,-99.17084569101799,-66.23887234770989,1.210362419688851e-10,1.4525610485670391e-07,7.556981138917907e-12,6.915559234550921e-06
129,8.0,0.75,95.49997836621604,7.185465624242696e-05,-inf,-99.75130199192533,-67.09637612865107,1.0589362140999533e-10,1.4474511576279884e-07,6.611541193857999e-12,6.388266322625025e-06
129,8.0,0.8,95.49997836621604,8.545551853623423e-05,-inf,-100.36353758719463,-68.07380491396681,9.197001160401621e-11,1.4363641849117123e-07,5.742211024829075e-12,5.841580532271202e-06
129,8.0,0.85,95.49997836621604,3.878453106351464e-05,-inf,-100.99737037339605,-69.21611632372718,7.948093412653055e-11,1.4225033911139402e-07,4.962446869857162e-12,5.296272258203332e-06
129,8.0,0.9,95.50002163378396,-3.3075392071867794e-05,-inf,-101.61880928790829,-70.23633416199056,6.888411311255597e-11,1.3983733194910327e-07,4.300827050599381e-12,4.843306638449784e-06
129,8.0,0.95,95.50002163378396,-8.262525049744301e-05,-inf,-102.18066892677133,-70.94737483880905,6.052476436513812e-11,1.4000020426941416e-07,3.778905353508743e-12,4.553050654401945e-06
129,10.0,0.5,95.50002163378396,3.0089157527711296e-06,-inf,-97.18785983886336,-62.68405939019095,1.9107946476859444e-10,1.4947763797814112e-07,1.1930178001246959e-11,9.883994424772545e-06
129,10.0,0.6,95.49997836621604,-1.3109428252148442e-05,-inf,-98.08356151011044,-64.25806467304886,1.554690157027103e-10,1.4691406619639008e-07,9.70681508480361e-12,8.473110769011508e-06
129,10.0,0.7,95.50002163378396,-2.382871965509272e-06,-inf,-99.11683673407758,-65.994919074503,1.225508496535242e-10,1.443053681475991e-07,7.651546712992986e-12,7.133514230958042e-06
129,10.0,0.75,95.50002163378396,6.50046174038536e-06,-inf,-99.68255384552242,-66.93235284702429,1.07583239008857e-10,1.4340719949806531e-07,6.7170336324770356e-12,6.530209631796692e-06
129,10.0,0.8,95.50002163378396,9.330834630768709e-06,-inf,-100.2732414573961,-67.91354029186606,9.390221880011738e-11,1.404449750756429e-07,5.8628497120511354e-12,5.921540604554419e-06
129,10.0,0.85,95.50002163378396,5.742981103259304e-06,-inf,-100.87263564965112,-68.92320434702937,8.179682282939251e-11,1.4089602212026843e-07,5.107040976239448e-12,5.4502630131607894e-06
129,10.0,0.9,95.50002163378396,-3.4095485528612356e-06,-inf,-101.45675605425463,-69.92000513189657,7.150302156965794e-11,1.3971342607690602e-07,4.464340404062222e-12,4.967580040174588e-06
129,10.0,0.95,95.50002163378396,-1.0568536544119863e-05,-inf,-101.9871298704902,-70.77734909577399,6.328299326321945e-11,1.3898056621461568e-07,3.951117274670152e-12,4.607112926731492e-06
