case,freq,mag_db,phase_rad
BigMuffMusket:noon,1000,-20.6033191186,-0.330089728603
BigMuffMusket:noon,2000,-20.2022022726,0.0159964993714
BigMuffMusket:noon,4000,-18.9035763417,0.0831677997696
BigMuffMusket:noon,8000,-18.3473768408,0.0559367744166
BigMuffMusket:noon,16000,-18.1858955008,0.0300086659535
BigMuffMusket:mid0,31.5,-9.95984057973,0.309810749119
BigMuffMusket:mid0,63,-9.04740924491,0.0820195031513
BigMuffMusket:mid0,125,-9.22520600629,-0.201549293224
BigMuffMusket:mid0,250,-11.245039535,-0.452393146004
BigMuffMusket:mid0,500,-14.3711642707,-0.50516941697
BigMuffMusket:mid0,1000,-16.7287516879,-0.3692258661
BigMuffMusket:mid0,2000,-17.7346595969,-0.211121095717
BigMuffMusket:mid0,4000,-18.0384383961,-0.109649163558
BigMuffMusket:mid0,8000,-18.1185577575,-0.0553474144037
BigMuffMusket:mid0,16000,-18.1388565079,-0.0276999428643
BigMuffMusket:mid10,31.5,-9.8397512267,0.198146256981
BigMuffMusket:mid10,63,-9.70165514896,-0.0990603371527
BigMuffMusket:mid10,125,-10.8139791775,-0.405085863305
BigMuffMusket:mid10,250,-13.8778581521,-0.667780193838
BigMuffMusket:mid10,500,-18.6683393476,-0.664565828716
BigMuffMusket:mid10,1000,-21.6388946877,-0.205651951212
BigMuffMusket:mid10,2000,-20.0439607888,0.100177693992
BigMuffMusket:mid10,4000,-18.7258036613,0.101267699507
BigMuffMusket:mid10,8000,-18.2879350691,0.0585923450574
BigMuffMusket:mid10,16000,-18.1699261024,0.030355050304
BigMuffMusket:treble0,31.5,-3.42903420535,0.208088970038
BigMuffMusket:treble0,63,-3.37861511275,-0.119183179518
BigMuffMusket:treble0,125,-4.29465981587,-0.457986597594
BigMuffMusket:treble0,250,-6.85306801001,-0.840329564863
BigMuffMusket:treble0,500,-11.3109768211,-1.16434732322
BigMuffMusket:treble0,1000,-16.8731416029,-1.36776640156
BigMuffMusket:treble0,2000,-22.8519206105,-1.47460481021
BigMuffMusket:treble0,4000,-28.9301556079,-1.5192657564
BigMuffMusket:treble0,8000,-34.9835852487,-1.52909461692
BigMuffMusket:treble0,16000,-41.0084554526,-1.51585223565
BigMuffMusket:treble10,31.5,-12.0933844959,0.784483297968
BigMuffMusket:treble10,63,-9.83811298734,0.37645303202
BigMuffMusket:treble10,125,-9.83250291696,0.0265501875353
BigMuffMusket:treble10,250,-11.5475922477,-0.14503779231
BigMuffMusket:treble10,500,-13.2738913334,-0.0364708987871
BigMuffMusket:treble10,1000,-12.9509001433,0.205446330783
BigMuffMusket:treble10,2000,-10.9358318047,0.310017664181
BigMuffMusket:treble10,4000,-9.25010041764,0.238434128213
BigMuffMusket:treble10,8000,-8.5487269848,0.136884768484
BigMuffMusket:treble10,16000,-8.3416572216,0.0710741503416
